specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,Date.Photographed,Specimen.ID,Ventral.ID,CurrentSp,Sex,Region,Latitude,Longitude,Extent..m.,Certainty
ZRC.4.966.VARIGATUS.CRANIUM.DORSAL,0.008660609113799159,-0.0031021807713285734,0.0020408266612805493,-0.0041136317303657405,0.013868468047252162,-0.001992084146259949,-0.0015381996424402647,0.004371145428910286,-0.007287721422527144,0.014833687434460532,9.365927861652879e-4,0.0031069037820708224,-0.001108090091111772,0.008240750055574621,-3.963610128742483e-5,-0.010722322587297052,7.225152219156858e-4,0.0012367245636232215,-0.002659800808852569,0.002979391891898581,-1.3011166194031444e-4,-0.002266146854671182,0.004890744319321861,2.430002423357247e-4,-0.00297678983103275,0.0018516214619752292,0.0016070158638336234,-0.0013017905021227155,6.062016970303982e-4,0.002179771212075989,0.002366195037031318,-3.811228573409726e-4,7.653924769847924e-4,-4.245404081967008e-4,2.1752680102552367e-4,5.891990148872092e-4,0.0012242685645010123,1.6318025861318931e-4,1.496198998029996e-17,5.887217796596289e-17,-1.742177365912645e-17,-1.0625181290357943e-17,18/08/2020,ZRC. 4.966,ZRC.4966.VARIGATUS.CRANIUM.VENTRAL,variegatus,Female,Java,NA,NA,NA,NA
ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,-0.01096702195749388,0.03540598367714808,-0.014887314762714557,-0.01751891849927713,0.03304974983669207,-0.018025807132309238,-0.016023686104353414,0.003021665483113931,-0.003446858030671588,0.012768521422171795,0.0012887147520484056,-0.008027339979292636,-6.786973384066002e-4,0.005590165686118789,-0.0035559060838388926,7.169243229657573e-4,-0.0014701159332829094,-3.05903094187061e-4,-0.005893458631193978,0.004056259160017366,0.0018900582539484842,0.0055444699361212775,-0.004113984007194021,-0.0036266149269474344,-0.002235959624152227,-1.0156777781333284e-4,0.0010416642517372791,-3.127112132692556e-4,-0.001260748895155656,-0.0034394151877312376,9.765725959032475e-4,-2.3349173221353574e-4,8.15147528629426e-4,-0.0015167973733636864,-4.027467693407501e-4,-0.0010656131102348121,3.111388578907831e-4,1.8500456221650095e-4,-1.3160859121258417e-16,-6.440160904563896e-17,9.662951862277058e-18,1.328147661294743e-17,18/08/2020,ZRC. 4.886,ZRC.4886.BONEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,3.9218,113.93024,70000,75.00%
ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,-0.01209804006295249,0.010618419573896127,0.017498537677650344,0.01165612618268178,-0.0029218558884173216,-0.001481474723391682,-0.0018733375021729773,0.0031298564441803295,0.02311892835002027,0.011794028094153693,0.009608397695899985,-3.363921369663012e-4,0.0019112699146058352,-0.01007880594372125,5.950111948562138e-4,2.3727966527581923e-4,0.005493871045836434,0.00621318931057326,0.0032802023495751183,-4.467123189370626e-4,-0.002621469286897279,0.004304355294153191,0.001060051794369949,-0.005216058936290983,-4.378570570942954e-4,1.8360673210689876e-4,0.0012373882858156785,0.0014480683098557212,0.0016441307374570867,6.90958374229604e-4,-0.001871315371942555,-3.126960489436893e-4,-1.6574794327761162e-4,6.82704215784711e-4,-9.770569480753356e-5,-1.7430752417603364e-4,-1.3933221913889332e-4,-3.0315119435101454e-5,-4.491307499521202e-17,7.871307772244762e-17,-4.228388472693467e-17,1.3227266504323154e-17,18/08/2020,ZRC. 4.888,ZRC.4888.BORNEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,5.304512762,116.9350579,253000,75.00%
ZRC.4.899.Peninsulae.CRANIUM.DORSAL,-0.03248248557958345,-0.0028092180526141206,-0.011178710881210809,0.0038501467933975088,-0.004128678757042582,0.012089645605432488,0.0014276727221825029,-0.013232550296120062,0.011199759223309149,-0.007294933942882174,-0.003560605344303643,-0.014559079965400283,-0.002877697696733595,-0.009323445185517748,-0.0018596501824954044,-0.007149072516421677,0.0032031055146196797,0.004936081060817157,0.004481732683189055,-0.0012983262772182005,0.0010621226280241591,3.7426782225547645e-4,0.0037131610408592274,0.0023758399984235095,-0.0011716907607379641,-0.0017260599273198401,-0.0017216551161607335,0.004082066892464223,0.001707597161692119,-0.00462162980222915,-2.698389034897191e-4,5.970193171678964e-4,1.5942776172714375e-4,-3.769260201486479e-4,-5.311491653761163e-4,-1.4750195765223873e-4,8.839437633007168e-4,4.0836045119886795e-4,-1.776058683802817e-17,4.683753385137379e-17,6.96870946365058e-17,5.041540102057596e-18,18/08/2020,ZRC. 4.899,ZRC.4899.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4.900.Peninsulae.CRANIUM.DORSAL,-0.004470662880870666,0.007126478446005111,-0.006742732066823359,0.0030291410150991064,-0.00987606863957905,0.006208769475679236,8.387476442495625e-4,-0.01359927309711147,0.003270546191025186,0.010971341193555287,0.001910998420118924,-0.0044053895506354634,0.001002870005634423,-0.0048867279495503875,-0.002604401292180231,0.002848390901686022,0.004689788197013669,0.006366265749903304,0.0016736771745728518,-0.004688593229664101,9.358043522403733e-4,-0.003388084558756557,0.0025684280735970826,-0.00255137356187722,-0.001793298842391696,-0.0010358699446066685,-0.0015049176356494846,-0.0046467613788901685,-4.489264268410443e-4,-0.0017647033008153378,-2.0793933441802417e-4,5.81178092407905e-4,2.781398543471569e-4,-5.502251004091143e-4,3.663139600475526e-4,1.907137787417465e-4,-6.412611735877536e-4,-4.1949862669824476e-4,-3.5236570605778894e-17,-5.345116710353537e-17,-1.7753810574450135e-18,-1.5612511283791264e-17,18/08/2020,ZRC. 4.900,ZRC.4900.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,7.068869728,100.621263,1000,75.00%
ZRC.4.908.Peninsulae.CRANIUM.DORSAL,-0.013305003369661422,0.016728406551070576,0.014556347439305839,0.0122942039527418,-0.010752087019245229,0.0010295344120207345,-0.00937468632282782,0.012835923610350103,0.0025889673920640416,0.008577654694709145,-0.011891391326034876,-0.009265980032756816,-0.004465711070311143,-0.0013645207263983832,-0.0019535419468453487,-0.0011107620894579948,-0.00825166891653985,0.0014844470171235446,0.0035270194452364247,0.003424109737616166,0.0022397614090293064,0.006055997951763381,0.004608878361499361,7.840792226403034e-4,8.61153250483265e-4,-0.0029432198345939573,0.0015329953110017314,-7.02227026961466e-5,-3.3163048913911525e-4,0.0014926248703059646,1.5263961248174594e-4,7.558557811848813e-4,8.391529226198024e-4,0.00266719611416006,0.00120860467472637,-5.66763422578585e-4,-6.259792002850049e-4,-6.243271378042796e-4,-2.1900206257849386e-16,3.1387652893455353e-17,3.641564046835688e-17,-8.673617379884035e-18,18/08/2020,ZRC. 4.908,ZRC.4908.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,NA,NA,NA,NA
ZRC.4.918.Peninsulae.CRANIUM.DORSAL,-0.009766559962958454,0.018091026587916278,0.003612778163690025,-0.007476504516849032,-0.016222436658388118,-0.006675811346057169,-0.015068718908586937,0.011510586459532152,0.005712918833445721,0.0010666291536677935,0.008351667398759371,0.015015423514700487,-0.002003794004483377,-0.001970880428424505,0.004970793854370511,0.007491286589066292,-0.004237266648214754,-0.0038633512473801217,0.002617323749274482,-0.0036319442423226487,0.0015208369854669826,-0.002119919719414004,-0.0075481181674274065,0.002175826489266489,3.642367870082432e-4,0.0024360832780999887,3.9652446569947403e-4,0.0016906456595797213,-0.0018662236672294008,-0.001809972812211516,0.0012869975817671054,0.0021248519210635215,0.0012967673864751944,8.58559363029863e-4,-5.642152453008456e-4,5.362142460671401e-4,-0.001070042761147169,-1.0607052205954077e-4,-3.4680916992380073e-17,1.929879867024198e-17,2.847385955490056e-17,-2.190088388420719e-17,18/08/2020,ZRC. 4.918,ZRC.4918.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,3.55023,101.7233,3500,75.00%
ZRC.4.925.Peninsulae.CRANIUM.DORSAL,-0.024824798147110028,-0.001505585691710813,0.005879408002683054,-0.004486458329168397,-0.0021592680741712935,-0.011768050236802266,0.0026124094216880083,0.008298011321357187,-0.007173901470882903,-0.014855908756974935,-0.018245481624270934,-0.005835707393651566,0.0016867552540658563,-6.909238626571781e-5,-0.0030147671412005693,-8.55701319704521e-4,-0.001198058147091953,-3.351718347983444e-4,0.002303051004683202,0.002360187043683224,0.001394741889347919,0.0015431163294209068,-0.0012855483215540328,0.0019322990104831761,0.002027372593710325,-1.6109001665568222e-4,-0.0027410500459427306,-9.945338449602362e-4,-0.0030059348142752423,9.076520729710423e-4,0.0013747418878950106,1.7078467525430096e-4,-1.8876052247230563e-5,-6.563687118441911e-4,0.0011889782257959276,-9.485396925133969e-4,-5.98105395562308e-4,4.3098561957265083e-4,-2.179246366695864e-17,5.1011712215442984e-17,-2.4767243377715742e-17,-2.0003530082357557e-17,18/08/2020,ZRC. 4.925,ZRC.4925.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,1.4208,103.80113,3100,100.00%
ZRC.4.937.TAYLORI.CRANIUM.DORSAL,-0.022523017258631508,0.008601523316267557,0.011101343387691528,0.0137509965141178,0.017370486026310295,0.009483855371158586,8.887755761665009e-4,-6.814194682745946e-4,-0.004796555214999431,0.010621355479290114,-0.0026551370220871473,-0.0022036457739196542,0.007665837325345259,-0.006052521899646316,0.002513147010829841,-0.004290116210250818,-0.004721410427502441,0.00254742833717058,-0.006676677152233175,0.003537542822285575,-0.004974001091054011,-0.0047278112429005505,-0.00153501791721129,0.005291794644241635,8.306569932494429e-4,-3.6171630022344766e-4,-0.0028734282118399396,8.89101896166429e-6,3.475386506621181e-4,9.155409244171891e-5,0.001897754897179829,3.6375558567656834e-4,-2.500081175914144e-4,3.098780589050669e-4,-0.001658197728306897,2.483519933162135e-4,0.0011005590792318967,5.431165933878504e-4,-3.221435704997555e-17,-8.890457814381136e-18,1.7509865085640897e-17,1.2685165418080402e-17,18/08/2020,ZRC. 4.937,ZRC.4937.TAYLORI.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,2.789944,104.202186,1450,100.00%
ZRC.4.938.TAYLORI.CRANIUM.DORSAL,8.210374518489849e-4,-0.029696367549565495,-0.0052063430739514695,-2.0873614733572248e-4,-0.004802539462377812,-0.008864487313033909,-0.0038263587388268714,-0.005274005438752236,0.016534103946254992,0.002301580222915267,6.508120654854492e-4,0.015177936091313167,0.011872767137420363,-0.0025479094310789734,0.0030825140264801308,-8.015284861135489e-4,0.004576871394386794,0.0020605473127342324,-0.0012819186495975994,-3.4275252616803437e-4,4.74370459711791e-4,0.0035923251458935745,0.0032181271751482088,-0.0031318271231975435,0.0016322436397873579,-0.0017722873375285923,7.116396895431151e-4,-9.183145451809508e-4,-6.465898075786486e-4,6.27509867126787e-4,0.0015165679411522903,0.0017310876730844125,-3.029854374823268e-4,0.001483681571771731,-0.0013939354092144275,3.1055318425063307e-4,2.0331794044881028e-4,5.614851864887493e-4,-2.4480946241543788e-17,-2.462494184257702e-17,3.6208117396279577e-17,1.6703489719854803e-17,18/08/2020,ZRC. 4.938,ZRC.4938.TAYLORI.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,2.789944,104.202186,1450,100.00%
