specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,DatePhotographed,SpecimenID,CurrentSp,Sex,Region,Longitude,Latitude,Extent..m.,Certainty
ZRC.4.966.VARIGATUS.CRANIUM.DORSAL,0.008865039852286611,-0.003052120163589782,0.0015366632710924679,-0.004350049693032109,0.013625885269655271,-0.0024760422974891253,-0.0017927122437813507,0.0043024963224453094,-0.005375905471678524,0.015724997866410576,-1.90351708857761e-5,0.003309355767629308,-8.86302301737442e-4,0.0081538452697269,5.509616155092572e-4,-0.010650442457798467,0.0011650880819880666,0.002182855470433157,-0.002830690198600839,0.0027318011766959936,-1.7636472275432317e-4,-0.002264139406277143,0.0048860598946653955,3.612415810311405e-4,-0.002935323930830014,0.0020055720811534,0.001592851889032538,0.0012864499230260426,5.695916693765673e-4,0.0021988636723356374,0.0022781171464573936,-2.149717595283191e-4,7.28661672585398e-4,-5.795558882142592e-4,2.0893204849648238e-4,6.395260627067449e-4,0.0011724898087401995,1.4036212083952182e-4,-1.5102597449544175e-17,-7.860465750519907e-17,-2.5970030162816848e-17,-1.2902005852577503e-17,18/08/2020,ZRC. 4.966,variegatus,Female,Java,NA,NA,NA,NA
ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,-0.011130039701560955,0.03595256419530787,-0.014354721704570392,-0.01776330002017377,0.029800094659367775,-0.020369258218018632,-0.016914423428038255,0.0030282833528571993,-0.0013145098574977793,0.014052044185634384,0.001122177480168973,-0.008027148926007298,-5.627396697105162e-4,0.005499432507925996,0.0037086767395907937,8.474828805054784e-4,-0.0012625356612625026,9.994329724620971e-4,-0.006237645500453652,0.003524710280986814,0.0017344360894175352,0.005547875250841252,-0.004062994866509458,-0.0037840125219638842,-0.002207661986142154,-9.127988083708978e-6,0.0010369645824282736,2.945186156291272e-4,-0.001196065377836811,-0.0034473015819430036,0.0010654537094151911,-2.339761719589441e-4,7.757206730504113e-4,-0.0014781052719708121,-4.3447611516837234e-4,-9.873726403765652e-4,4.095771240769997e-4,2.1151071365778894e-4,-1.4415145509552585e-16,2.6291902682773483e-17,-2.4699480741935398e-17,-3.577867169202165e-18,18/08/2020,ZRC. 4.886,variegatus,Male,Borneo,3.9218,113.93024,70000,75%
ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,-0.011716297798178068,0.009144845743334,0.018763693571264922,0.011744426372598824,-0.0034536525613387396,-0.002220238556392092,-0.0031404592076000114,0.002175066181539867,0.024370141407679388,0.010118361288874809,0.0076493066671111335,9.923156207524743e-4,0.001059180487169444,-0.010366584516364779,-7.617729418726963e-4,1.9159385959346677e-4,0.005539573179362947,0.004278893411190283,0.0049177073200454,-5.08782338817585e-4,-0.0028687077561806674,0.00430998957314228,0.001119661146646076,-0.005385805209869724,-3.9519462304579396e-4,2.0620277905986214e-4,0.0012167200891165055,-0.0014713733326241262,0.0016490579001631573,6.061309510484819e-4,-0.0019074349933592954,-3.2605417043910336e-4,-1.5773665568192315e-4,5.836532735563815e-4,-6.0893438873196744e-5,-2.346410845915117e-4,-1.6106149860651582e-4,-5.2815962682169334e-5,-2.6637492125253237e-17,-7.806255641895632e-17,-2.551940863487756e-17,1.713039432527097e-17,18/08/2020,ZRC. 4.888,variegatus,Male,Borneo,5.304512762,116.9350579,253000,75%
ZRC.4.899.Peninsulae.CRANIUM.DORSAL,-0.03226786064102587,-0.0030147032781956255,-0.010766574991133962,0.004022779001008899,-0.004724173838138852,0.011738133979436181,-1.0786660151724701e-4,-0.013739452046992316,0.010529860785327902,-0.008149458375907657,-0.0027358469700735624,-0.014587305263983072,-0.0035631841547604333,-0.009452211014260083,0.0016038013784211624,-0.0068031729814192945,0.003625962245316618,0.004206116977425242,0.005257762395797715,-0.0010111485509862106,0.0010748904321924687,3.76199011798443e-4,0.0037133196317924453,0.0022333747430899505,-0.0012440981504930086,-0.0019823657197271093,-0.0017294286034833265,-0.00407928776485398,0.0017772255719034618,-0.0045078644861570255,-9.57187044553282e-5,4.22508750550248e-4,1.869568913644814e-4,-1.172447453060121e-4,-5.775743334326504e-4,-3.704360666342947e-5,9.288414483036038e-4,4.3352866992335954e-4,1.679327521226376e-17,-2.835188681049594e-17,-1.3633842319005218e-17,-1.0408340855860843e-17,18/08/2020,ZRC. 4.899,variegatus,Male,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4.900.Peninsulae.CRANIUM.DORSAL,-0.004224682361041919,0.00665792492499667,-0.005685453668470528,0.0033258709082533487,-0.010784345324549225,0.005873784716976165,-4.1930636926310516e-4,-0.014008644088092272,0.0041835961119457464,0.010838433154123445,0.0010406732290212327,-0.003936604779011031,6.0640100708969e-4,-0.005054310958856417,0.002394580939842497,0.003041202233662501,0.004869454720687902,0.004944146202621315,0.003466450585213245,-0.004803431864216879,7.632110468154861e-4,-0.0033816448444848853,0.0026253926560373597,-0.002777029528486274,-0.0018024484916782763,-0.0010735153168569705,-0.0014840249960258877,0.004642896347375423,-4.007395634394619e-4,-0.00185254386284276,-2.0552894563138414e-4,5.852006371467862e-4,2.636496920820294e-4,-5.555767834780347e-4,3.5673508434704444e-4,1.713184376955006e-4,-6.418527909742491e-4,-4.145427655943588e-4,9.18861341181465e-18,5.605325231750058e-17,5.2475385148298415e-17,-5.204170427930421e-18,18/08/2020,ZRC. 4.900,variegatus,Female,Peninsular SEA,7.068869728,100.621263,1000,75%
ZRC.4.908.Peninsulae.CRANIUM.DORSAL,-0.013065952936715685,0.01555710893156061,0.01591583318171217,0.012478126153969373,-0.010699308119676338,8.811605069411793e-4,-0.008930176733445084,0.013071948586506905,0.002821809785003154,0.007306167852472365,-0.012482090487498827,-0.009245992145071163,-0.004843124797809182,-0.001443648996455124,0.0019707240823676965,-0.0012195397734394437,-0.008169187906073483,0.0017029135839104772,0.0032570323419361205,0.0037236284300123782,0.002237275931128406,0.006059295242508777,0.004615367203685189,6.819070294503112e-4,8.065288253444257e-4,-0.0028522732415383863,0.001594645841499005,1.1969810957566755e-4,-3.839827629108619e-4,0.001608985054719228,1.622453116112002e-4,6.570781140106988e-4,9.254138013995314e-4,0.002622327156536328,0.0012830277603519695,-6.549836984888791e-4,-6.236105980314012e-4,-6.329973881441791e-4,-2.1149735066582076e-16,-3.61039323437673e-17,3.691030770955339e-17,1.1167282376600696e-17,18/08/2020,ZRC. 4.908,variegatus,Female,Peninsular SEA,NA,NA,NA,NA
ZRC.4.918.Peninsulae.CRANIUM.DORSAL,-0.009539786257857919,0.01711023067177498,0.005286650564489835,-0.007084318802767966,-0.01737419558043004,-0.0071168509718840455,-0.01432867565882251,0.011966163165967826,0.0051291888831167505,2.891361452396024e-4,0.00715222199107887,0.01567576122193185,-0.0018864228501460564,-0.0016430075144353523,-0.005165985962365927,0.0071104544862149914,-0.004795644686141865,-0.004307045354255829,0.002179514957708999,-0.003238601086075124,0.001731558750624231,-0.002126793246492448,-0.007585463766022095,0.0023321301071934255,3.8234679309068654e-4,0.0022840210091652617,3.3935268261729875e-4,-0.0017354606132934194,-0.001820032699128158,-0.0018911081997862453,0.0012672537748151704,0.0021097774203931692,0.0013362834462581799,8.788462533542445e-4,-5.444132170639485e-4,4.3783518609916215e-4,-0.0011187096791194246,-1.1283088057797852e-4,2.6894990141218544e-17,-4.5536491244391186e-17,-2.1006417091906648e-17,3.2526065174565133e-18,18/08/2020,ZRC. 4.918,variegatus,Female,Peninsular SEA,3.55023,101.7233,3500,75%
ZRC.4.925.Peninsulae.CRANIUM.DORSAL,-0.024654808887384673,-0.001831009952790777,0.005810362361951137,-0.004514346683345764,-0.0016931235103007126,-0.010996307708194724,0.004422665052658161,0.008914993575002049,-0.008889594467619716,-0.0151980503132156,-0.01627876093084845,-0.007341106800597296,0.0020444405672879274,-9.030801713005878e-6,0.002822455554647831,-4.913575734916309e-4,-9.645027605535009e-4,3.115913070221949e-4,0.0015275586207570376,0.002705781646502839,0.001591742931129645,0.0015383360022177494,-0.0013326376114606053,0.0021233589525240307,0.0020281223035962695,-2.8924681357166322e-5,-0.002710019850433428,0.001040049665169886,-0.0030429374601043126,9.639033518541716e-4,0.0013611154322530374,2.1722248229447477e-4,-3.695912289766986e-5,-6.441462358327013e-4,0.0011789131927651192,-9.123817986614311e-4,-4.999840536799641e-4,4.6404262244512226e-4,2.7199922002230092e-17,-4.651227319962814e-17,8.199278929421627e-19,1.4148838350935833e-17,18/08/2020,ZRC. 4.925,variegatus,Male,Peninsular SEA,1.4208,103.80113,3100,100%
ZRC.4.937.TAYLORI.CRANIUM.DORSAL,-0.02238272791688499,0.008190210779311133,0.01100637520165001,0.01342047509165264,0.017661216962773486,0.008886751913706801,-3.2726054539474337e-4,-0.001055981870014047,-0.0028442561899567446,0.01157946950002741,-0.0028160283089559853,-0.0025102820644876903,0.007599884974943346,-0.006174180353450045,-0.0026302147045903944,-0.0041070109283811345,-0.004145871643820003,0.004392451485684611,-0.006616002995020012,0.002876935651191935,-0.005059771441819076,-0.004731018259652205,-0.0015584717194741002,0.005228780746341196,7.447620844792441e-4,-7.78650845563016e-4,-0.0028833375876154907,-5.4721461031274985e-6,3.4346005757438083e-4,1.3115681729536794e-4,0.0018804663736431467,4.1938439611094577e-4,-2.4145997892570397e-4,3.287863517768279e-4,-0.0016569967866004534,2.6281217645354515e-4,0.0010573580068469939,5.223487333978849e-4,-1.402008934295318e-17,1.734723475976807e-18,1.0747154034762563e-17,-9.107298248878237e-18,18/08/2020,ZRC. 4.937,variegatus,Male,Peninsular SEA,2.789944,104.202186,1450,100%
ZRC.4.938.TAYLORI.CRANIUM.DORSAL,0.0013472844540397281,-0.030123832741092548,-0.005513865344700411,-8.535979162578136e-5,-0.005288381026499333,-0.009232204353695567,-0.004030311093082287,-0.0055048765972591064,0.015575396219793975,-8.96561481581095e-5,-8.864483044240895e-4,0.015504572808561178,0.011878639892774897,-0.0028808694732650863,-0.002903136214722889,-0.00098409822071582765,0.004541786780237207,0.0012761139711770036,-4.5629417445225423e-4,-6.389024010659147e-4,2.4349616139913202e-4,0.0035998345185210886,0.0032803990119338704,-0.00335743700767538,0.001617534761391861,-0.001802937919971871,7.379107470892994e-4,9.307313831341814e-4,-6.586585382840935e-4,6.235249141575852e-4,0.001451109054692546,0.0017589732141655963,-2.538614419077698e-4,0.0014954386611864393,-0.0013560264117268852,2.3625850258410496e-4,1.3631542740921989e-4,5.298104415264364e-4,-8.49319936211887e-17,3.1008182133085427e-17,3.949375819867901e-17,-8.273817828780006e-18,18/08/2020,ZRC. 4.938,variegatus,Female,Peninsular SEA,2.789944,104.202186,1450,100%
