specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,Date.Photographed,Specimen.ID,Dorsal.ID,CurrentSp,Sex,Region,Insular.gp,Latitude,Longitude,Extent..m.,Certainty
ZRC.4886.BONEANUS.CRANIUM.VENTRAL,-0.0050977025033510405,-3.434734282455268e-4,-0.01702664962064756,-0.006176649265905562,0.008994852927770766,-0.008813429620099181,0.005216483357186084,-0.006637446966768931,0.001469487251538617,0.0013460240272585985,-0.003377938897588028,-0.009343890626310695,0.008068412190218217,0.0029718198546690826,-0.003825771314648088,4.169171648348033e-4,2.738995696008648e-4,0.0012603550954653922,-0.004910772412863226,-0.008738859390059996,-0.007992147471048077,-0.003825662093238932,-0.0011849770602194558,0.0026703556684389645,0.0027343231420587236,-0.0018922400758495151,-0.0028261361415755273,-1.114851553212664e-5,-0.001088334231594965,5.966872175600356e-5,-0.002201402820313742,0.0028464114409998322,0.0011167791058036222,0.003241834942594481,9.234691071158194e-4,-9.329992503534192e-4,-5.349403291517372e-4,4.795772552886316e-4,1.0474259144197597e-4,0.0013041767035060102,0.0010906470126160015,-0.0010957027273717041,0.0015404262150962695,0.0014119460563222414,-0.001372483412501881,5.844901432210345e-4,0.0021503659159163146,-7.746731333551204e-4,5.753738068028193e-4,0.001066425240857934,-6.167754630212408e-4,-0.0010916878369979612,4.4133198144360325e-4,-3.582762214860337e-4,-7.294483024332912e-4,-6.7018656127299e-4,-8.807159188164549e-4,1.7406254087486053e-4,-4.1793760528188425e-4,7.836005949585258e-4,-2.5996221874028823e-4,-3.758355540248038e-4,0.00052710613807467545,-4.624566668097362e-4,2.0787353935459828e-5,2.047840689206369e-4,1.4200502147408508e-4,-5.473987250089555e-5,-2.417770844642675e-17,-9.378348791999613e-18,-3.5801912158511936e-17,4.87890977618477e-19,18/08/2020,ZRC. 4.886,ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,variegatus,Male,Borneo,Borneo,3.9218,113.93024,70000,75.00%
ZRC.4888.BORNEANUS.CRANIUM.VENTRAL,-0.003616638933252788,0.02080196531065423,0.005737611521248818,0.002495197750971863,-0.0017223649821031914,-0.0017706285982595038,-0.006697936233821004,5.386555078511463e-4,0.011503802490064536,-0.016240682635867053,-0.0029294391544735627,-0.004263264383213112,0.004100170598262281,-7.78206226170064e-4,-0.005716418207120279,-0.006701684391266805,-0.0024801229437919187,1.184143217548525e-5,0.006153868317875497,-0.005735824899947628,-9.811649286833402e-4,1.0299155141458065e-4,-8.409141018580591e-4,0.007383434716209682,2.9278236697349944e-4,0.0035867758986554044,-0.002350818063036081,4.232937444659706e-4,-3.9874209400300546e-4,0.0021361462073938983,0.002562234165428108,-0.0022443213296205753,9.698850635136975e-4,-0.0012307478427230312,0.0011797336898352973,0.0010833072106454626,0.0030998075048053885,0.0013977767344874477,-0.0018807221733988086,0.0015309487113962102,-0.0020141362198092365,2.3744458718638416e-4,9.5264115488145e-4,-0.0013564540458173289,0.001743759222352501,8.046039923023849e-4,3.3250826931545565e-4,-1.3623235134173003e-4,5.276165897077213e-4,4.677288998232703e-4,-4.7983987090364285e-4,3.7970968049213166e-4,0.0017727642897321302,-4.238720598518469e-4,6.244450886166019e-4,-4.946234688097901e-4,-7.84413416861219e-4,9.041880174591034e-4,2.54683564718908e-4,-5.467198598910053e-4,3.82112562363431e-4,-6.694299379791118e-4,-1.9916800693157185e-4,1.9447014257314624e-4,2.7483155476525425e-4,1.1329591953036703e-4,-1.0260625045154667e-4,5.613436869044988e-5,-3.7594710330934866e-17,-1.4880674817363548e-17,-1.623905096696343e-17,-2.656295322589486e-18,18/08/2020,ZRC. 4.888,ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,variegatus,Male,Borneo,Borneo,5.304512762,116.9350579,253000,75.00%
ZRC.4899.PENINSULAE.CRANIUM.VENTRAL,0.009215701866234162,-1.2249412697272626e-4,-0.0055954582323627005,0.01872228927793408,-0.003089465475877804,0.010622306587799082,-0.0069553795974842385,0.004038094205505998,-0.0057042647676313,1.683058876573425e-4,0.0014630067882829916,-0.00683611682275137,-0.007854976746553576,0.0019011714196104387,-0.009766709152620243,0.005832705328415226,-0.0026759506467058224,0.0038473432572389147,0.0014917330733002173,-0.006795509201045968,0.003371073799003076,-0.0030215349568412674,0.0021969248938188152,4.3965019697704327e-4,-0.006781287543840303,0.0018518186216793097,3.4935677112575043e-4,0.005140926250185045,0.007226981187111766,-8.448009419762047e-4,9.144288607889334e-4,0.001637573353276063,0.0030558594769022423,-0.0010489859452269034,-4.902262656209263e-4,-6.247167726256529e-4,-3.386783416006785e-4,-0.0013035017270333201,0.002411316235572871,0.0023152916168625868,3.5098972123133904e-4,1.275042828750916e-4,-0.0023311333839278374,1.45381599245013e-4,-3.43888604816658e-4,1.6058216489657249e-4,-4.9869938289000824e-5,-3.949989872504895e-4,-3.3117043062691254e-4,9.696390145678732e-4,-6.907092672168828e-6,0.0013115433177877608,0.0014088428061985426,0.001080301777209856,-1.1193045559782893e-4,-2.294229242667397e-4,8.122467422090902e-4,4.8402564231333155e-4,3.998597811026645e-5,3.1158012978952244e-4,-3.400683661806173e-4,2.3722446598571935e-4,5.874219776143345e-5,-2.588535104246979e-4,-8.414950876822209e-5,2.3824374827609548e-4,-6.087762905694116e-5,1.4728105556020523e-4,2.336455681706262e-17,2.824346659324739e-17,9.250129179608994e-19,-3.0357660829594124e-18,18/08/2020,ZRC. 4.899,ZRC.4.899.Peninsulae.CRANIUM.DORSAL,variegatus,Male,Peninsular SEA,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4900.PENINSULAE.CRANIUM.VENTRAL,0.0011087501871570962,0.0014097425220610785,-0.011765168279927631,0.011366658139108659,-0.008816925339220877,-0.010977092530575633,-0.0140491376319969,0.0021523872641467773,0.006190740465461614,0.006285343894156019,0.0024114590326900034,0.0035185074513963783,-3.5708601640953096e-4,-1.1167014376320016e-5,-0.0061957641479839344,0.004189652317357495,0.004843056746846785,0.006289202987953389,-0.0024775602772345666,-0.002146134001157147,-0.00562416328334789,-0.005197747916850183,0.005178001525619528,-8.328117016959242e-4,0.0012439456966404619,-9.040276626051579e-4,0.002603803199536915,0.0011348474748385665,-0.0012425091212368057,-0.005532257450940214,-3.051915897166734e-4,-0.0015828166766963436,-0.003079856864709239,0.0015856959344459872,-1.5931662624475712e-4,0.002606502054068521,0.0023799527784748907,-0.0031864983717109843,5.952878186354907e-4,-0.0013942428679147203,-7.019325107539004e-4,6.559051858580928e-4,2.4374537508105273e-5,-5.880805429288023e-4,-7.154127743358485e-4,0.0019210898769373426,-0.002189287512037074,2.548769533919854e-4,0.0010226937296443776,-0.0011978933246091505,9.053542880162351e-4,-3.49133882542136e-4,-5.166896427996764e-5,-9.739271912723835e-4,8.676106975141234e-4,-4.0188946482580816e-4,-3.3485964389448733e-4,6.670101907222273e-5,-5.680904377791767e-4,2.5576907001354397e-5,-7.897517165572407e-4,3.0229260052689667e-5,2.1159515343994697e-5,3.0380747419169585e-4,-1.5465349939088803e-5,8.376722147298605e-5,2.261565895051991e-4,-2.5424974527597202e-6,4.920922610368583e-17,-1.3931997916438732e-17,1.4188781248354793e-17,-3.2255014631443757e-18,18/08/2020,ZRC. 4.900,ZRC.4.900.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,7.068869728,100.621263,1000,75.00%
ZRC.4908.PENINSULAE.CRANIUM.VENTRAL,-0.009433297607068444,0.009023767872163614,-0.007801076247996528,-0.010202036609433595,0.02101480722630977,-0.007100085880853202,0.017463353706998766,0.0010501125934837276,0.017268285315630308,9.359454300074127e-4,9.956018821231042e-4,1.1279198650293892e-4,0.0014493530468245829,-0.008962656163389232,-0.00116324292377582,0.0053945487547227815,0.012265063178963845,0.009093645690747533,-0.002876405495182533,0.0015146196345146058,0.002038457545938548,0.0013124874231659023,-0.0028260003159378704,7.272308088182543e-4,-0.002212844734418156,0.003189991444565828,0.002198394842254296,-0.0035328488063800486,8.021557357774106e-4,-0.0017723222179160786,-0.0015764568309138225,-8.829570933376079e-4,0.001230496396818317,2.4346636001088343e-6,-3.787356185555071e-4,0.0012423640177617837,0.0010410372346035435,2.0511886813253576e-4,0.0016508573513094882,0.0020210021992265285,-0.0014332301092886694,0.002083566066726105,-6.595449585598437e-4,1.4955160553933438e-4,-6.026559929891618e-4,-3.4232146669663227e-4,-0.0020827938970236323,1.6717624690241475e-4,-6.816420027701377e-4,9.474621501862886e-4,-0.0012135629980911627,-0.0010540324300868902,3.852888751834983e-4,-7.646756476010774e-4,-7.513071050191482e-4,3.0957522011021714e-4,4.504838832583554e-4,7.944111685127639e-5,3.711576935610129e-5,-5.948297979282255e-4,3.4930769269950885e-4,2.0738944798859743e-4,2.0682763569628368e-4,-5.557389274446482e-4,-9.755040278185752e-5,1.7335581227870972e-4,3.937135142472496e-5,7.726938225352203e-5,-3.882799030213713e-17,-1.1275702593849246e-17,-7.451454716114487e-18,-1.3715157481941631e-17,18/08/2020,ZRC. 4.908,ZRC.4.908.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,NA,NA,NA,NA
ZRC.4918.PENINSULAE.CRANIUM.VENTRAL,-0.005774807503339928,0.008004328453768278,0.001143904853647322,-0.012132593207869781,0.005784346889342844,-0.007744187982052831,-0.0056997428141037825,-0.003046274139812413,0.0022855803032058373,-0.009142904715227607,-0.005843751785869809,-7.457086987750729e-4,-0.0020588814486582436,-0.008560219203553654,-5.752874816804182e-4,0.007016747751703686,-0.0014630788008253434,-0.007530914598762582,0.005304291444206712,0.0014503193835251093,-0.0046233823722621305,0.002627204790158863,-0.005478730505657161,-0.002498901668289616,-0.005387019414298508,-0.0027966273218976807,-6.82318273862769e-4,0.006442647822540053,-0.00216974110772022,1.6437055718254012e-4,6.914733559288842e-4,-0.0016187953853613452,-6.703120778370048e-4,0.0020393118555229817,-0.0021974177973544348,0.0010456930973219598,0.0026640539511225995,-0.0016210943243619765,-3.1497731537476816e-4,-0.0013030080467304774,0.0013800826458664687,9.358446505762061e-4,5.079047631913642e-5,0.0019327766389138823,-0.001080130373729554,-1.3580793882424035e-4,4.931461583804492e-4,-1.0061444047327738e-4,-1.1852486634461987e-4,-0.0013408354745881718,-3.9811882894415565e-4,4.793977113337624e-4,-2.7838823887004513e-4,1.2388844005162432e-4,-1.1559733475211315e-4,-5.08775708482742e-4,1.2993999603727087e-4,6.900823877923987e-4,-1.9433525405373705e-4,-5.553590680716736e-4,4.19319498632514e-4,1.6605524455319678e-4,3.315500223386645e-4,-1.583867849257085e-4,-3.143005139017204e-5,1.1954994722014794e-4,1.4442526792475983e-5,-8.311625387567392e-5,-2.6942423986264785e-17,1.0570971181733668e-17,-1.5385665272604722e-17,-8.131516293641283e-19,18/08/2020,ZRC. 4.918,ZRC.4.918.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,3.55023,101.7233,3500,75.00%
ZRC.4925.PENINSULAE.CRANIUM.VENTRAL,0.004968543896572851,-0.014820230409727119,0.01141776528944717,0.0014202981033483218,0.009862956530540081,-0.007015878900694368,-0.007011915958752745,0.00169310252399141,0.002199581849281392,0.00419699464708648,-0.005498237842490589,-0.019506126880718743,-0.011397600822143214,-8.196737098550335e-6,0.0060182186316149475,0.004230577060702716,-0.0010372822818746719,-8.032954179860184e-5,-0.0042365086813434556,0.0031191463174704203,0.002657851542130247,0.0012893704389595143,0.007745214256921606,0.0015339877023909986,-3.683137252419081e-4,-0.0015221513403793183,-2.954918036547133e-4,-0.0014391733752003742,-0.0027807949860695776,0.003015186500646954,0.003646918803311402,0.002377769831463918,-0.0016186620603248993,-0.001231365167035109,-0.002492268497745041,0.00436869474931042,5.189039375588768e-4,-2.3135714126922666e-4,0.0016053955319370828,1.788773262388763e-4,0.003414085057293806,-3.870802582887001e-4,-2.767565080762374e-4,-0.001812448345228056,0.0012901284929694727,4.642910380074719e-5,2.723330726103637e-4,0.0017134918108899849,3.63261500411025e-4,-8.315918081215137e-4,2.3748948043830472e-4,-8.460041768901171e-4,2.0721356826681903e-4,-2.2934539833702704e-5,-6.569553029833683e-4,-4.962906054809559e-4,-3.19422075859217e-4,3.3806473259658453e-4,3.3757067545280137e-4,7.708069698429135e-6,-3.557106780759103e-5,-1.4313112270843291e-4,-4.2732673514450236e-5,-1.0029340739864783e-4,-2.5350913720620735e-4,1.9227499024740148e-5,-9.50234827585423e-6,-7.88757446926157e-6,-2.5600723797813973e-17,2.168404344971009e-19,-2.4034136361867145e-17,-6.423897871976614e-18,18/08/2020,ZRC. 4.925,ZRC.4.925.Peninsulae.CRANIUM.DORSAL,variegatus,Male,Peninsular SEA,Peninsular SEA,1.4208,103.80113,3100,100.00%
ZRC.4937.TAYLORI.CRANIUM.VENTRAL,0.007323234885056736,-0.03014081892503059,0.01574029634799043,0.021671679947415895,0.007990980870805872,0.004083128975030142,0.001227164611013902,-0.00798663659527972,-0.00760380175131568,-0.005698850700221504,0.00511003157649026,0.004916384122239803,-0.0046559332167849165,-0.0063348904359373515,0.005912803399379555,0.0025751414116969985,0.005790813361821294,-0.002859914839234255,0.0034812324287441967,-0.0038765835078941394,-0.00653213470057721,-6.279956174200136e-4,-8.823090747001371e-4,0.0037416024678849835,0.0018878839988764864,0.0021762960518327294,0.002073401340950728,-4.101561036189263e-5,0.00116842532292665,-7.876880058535315e-4,0.001890136840206816,-0.002598976988734203,-3.7155460343825733e-4,0.0010687443605816023,-0.002294867613798609,0.0012566182157631835,8.703854853727842e-4,0.004647120976020954,-3.0741548096029563e-4,0.002198378857120343,6.693185906675052e-4,-9.469231693294733e-4,-5.260672380267371e-4,-1.6849405615891377e-4,-0.001670416815444768,4.5578866889444195e-4,-6.463837542483588e-4,0.001120933767933822,-7.077061301525969e-4,2.949069908006208e-4,5.718592853776952e-5,-6.963289144355806e-4,-2.9206513903582847e-4,1.1913761850242177e-5,5.56344157397362e-4,-4.668304446835477e-5,1.6292705246389382e-4,-2.2950862607959516e-4,-2.640728423950535e-5,5.473200543288343e-4,8.912182018707425e-5,-1.1186369574607845e-4,-1.101687994879671e-4,6.132723785324985e-4,4.1707936013791265e-4,1.2734697720938534e-5,8.771727187945191e-5,-1.8972003313747623e-5,-1.5415152607081012e-17,-1.462487086729275e-17,3.447496887218907e-18,-1.9159885266892274e-18,18/08/2020,ZRC. 4.937,ZRC.4.937.TAYLORI.CRANIUM.DORSAL,variegatus,Male,Peninsular SEA,Tioman Island,2.789944,104.202186,1450,100.00%
ZRC.4938.TAYLORI.CRANIUM.VENTRAL,0.0085617341085214,-0.015242003366205245,3.759966842186665e-4,8.019398993957132e-4,-0.007723233000729796,0.009524898930883154,-0.009329691938688245,-0.0023485008038821704,-0.003137683984606751,0.009044278979416905,-0.003881838681072725,-0.004924606623502338,-9.767181087494332e-4,-0.00965763595790999,-0.011171078920517951,-0.002357686191943198,-0.0024329895016542208,0.0018470984382049015,0.004331561717740375,9.433645562338721e-4,-8.071171384080476e-4,0.0016086779353226123,9.785759285561241e-4,-4.2827805129070935e-4,-8.200683022570544e-4,0.0015834094752852541,0.0022066537211508806,7.267256838975625e-4,-0.0030984360757209586,-0.0012394776824911926,-3.553148791260516e-4,-5.024927137384071e-4,0.0033498018941431323,-0.0012566113739267888,-0.0017705422287297768,0.0012118520247994054,-1.749603225107292e-4,1.893986521762362e-4,-0.0015186145299020154,4.894025983081049e-4,0.0011677109695384246,0.0014937420903425376,5.808691244194059e-4,0.0015252658221704858,-8.311874384956232e-4,0.0013808585709998104,4.2643640731845325e-4,-0.0028263274541103,-1.2989951007429753e-5,4.8430332117950834e-4,8.479300483500781e-4,-2.0033463886801015e-4,-0.001265474050626979,-5.334222521260161e-4,-6.313565005008125e-5,0.0012408450879746007,-8.805977415330584e-4,-2.731248112870227e-4,4.5426020645477814e-4,3.2330707805161536e-4,2.0159163862753092e-4,-4.7489653038309474e-4,2.1198826750976825e-4,-5.055328428926664e-4,2.682959249936137e-4,7.45808303392556e-5,-1.1045903232581342e-4,6.837934386554352e-5,5.719166459861036e-17,3.767602549387128e-18,5.012158646699712e-18,4.797594613248357e-18,18/08/2020,ZRC. 4.938,ZRC.4.938.TAYLORI.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Tioman Island,2.789944,104.202186,1450,100.00%
ZRC.4939.TAYLORI.CRANIUM.VENTRAL,-0.004227797910166028,-0.013910785138839274,-0.012607375849499758,-0.008199884531742783,0.004180975182645928,0.009792465477656028,0.007447700987376281,-1.0911485845818274e-4,-0.004635922958300973,-3.9174078189533874e-4,-0.0021537912694844655,0.004568325387877987,-4.15209479443868e-6,-5.405307840229457e-4,-8.44340893717089e-4,0.0035093462965035756,-4.7078656661234765e-4,0.0031289113019550363,0.0029358209389762704,0.0018376244347142485,0.0019001634097183945,0.001889459508198927,4.6959772991683665e-4,-9.694661280073819e-4,5.84332775723621e-4,0.0011474288418168391,0.002798608522616437,8.46320557444535e-4,-0.0036838709234141187,-3.778813741519999e-4,-4.282492619161989e-4,-0.002317330079847675,3.6926871154136016e-5,0.00478534169579314,2.3256903500269743e-4,4.7358637392253206e-4,5.69848767693756e-4,0.00166556523949275,0.0012315016943218833,2.8959994301574424e-4,0.0012680302518236167,-6.009876362416632e-4,-0.0015133748353754128,-0.002252104468979629,2.419678270754729e-4,-0.0020511002270415415,4.1268486542350724e-4,-0.0017923103727730248,-5.276392648819227e-4,4.4025877808076444e-4,0.0011698849312120833,0.0013047868685245887,3.930004366109331e-4,-2.0914864317772932e-4,8.987310600849941e-4,0.00024369627046564901,-1.4647415205389295e-4,-4.432892160151853e-5,-7.675533766646047e-4,3.860591103355187e-4,5.176487770449473e-4,3.297377455370711e-5,4.7795618704781927e-4,7.466337551821371e-4,-1.9845914589679243e-4,1.795017442312448e-4,6.310638331587069e-5,-7.573611519308547e-5,-1.997642502804542e-17,-3.252606517456513e-17,-1.2082025020076137e-17,-7.752045533271357e-18,18/08/2020,ZRC. 4.939,ZRC.4.939.TAYLORI.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Tioman Island,2.789944,104.202186,1450,100.00%
