specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,Date.Photographed,Specimen.ID,Dorsal.ID,CurrentSp,Sex,Region,Landmass,Insular.gp,Latitude,Longitude,Extent..m.,Certainty
ZRC.4886.BONEANUS.CRANIUM.VENTRAL,0.002267748005908599,-0.014303469123305943,-0.002404791234702377,-0.013712021276528869,0.01156686988541736,-0.0049114372996599065,0.002803838768053978,-0.003733901233016391,0.002831137284086115,-0.0022713759314337426,0.007173409566319444,-0.001605511737609501,0.004723679963514094,-3.4693460608525763e-4,-0.011258763100425657,0.006022481250121425,-0.0056541413936710225,5.58797326078467e-4,7.426209869982857e-4,9.980257753246294e-4,-0.007148175200631513,-0.0034321700915674333,0.0047786666909342135,-6.491395765492106e-4,-2.427217203206516e-4,-0.0010049800289988464,-0.0010734875792208667,-2.7289083725312086e-4,0.0031433696402281847,4.664499503209341e-4,0.0031446128524648923,-0.0032126060602565205,-3.908934411666628e-4,-0.0011372583126409868,-0.0014446947938570845,-1.4360490286833026e-4,-3.6873023885630274e-5,0.0019528653168759908,7.264383293828564e-4,4.7002843901843434e-4,8.350192900116055e-4,1.8577358965958534e-4,4.171598449115286e-4,-8.331880036019209e-4,-8.961084547734043e-4,-2.2741140567883456e-17,18/08/2020,ZRC. 4.886,ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,variegatus,Male,Borneo,Borneo,Borneo,3.9218,113.93024,70000,75.00%
ZRC.4888.BORNEANUS.CRANIUM.VENTRAL,-0.004812485861281782,0.0037756657433138927,-0.02270000068035505,0.007976905456865793,-0.005770635269003704,0.0025979712885792067,0.0031760068943727194,0.004360972451734998,0.0030573368910536193,0.002936264432214484,0.004864916765674064,-0.008760563473556375,0.011754795313183953,0.010518687388847502,2.3789994872363217e-4,0.001822580669600541,-0.0011710129241572736,-0.0035822495972603645,-0.002147408282510151,1.838589204994488e-4,-5.388734175634234e-4,7.724054752880446e-4,8.560963546713003e-4,0.0013292420135622412,-0.004857837127210723,3.786042107644187e-4,-1.6641371488213832e-4,7.728939449196175e-5,0.0020313971121094813,-9.542342955886769e-4,-0.003713015368242821,2.9940734609745285e-4,-2.5036211955685564e-4,-9.078746458819164e-4,-0.0016805918714989502,4.87809626611547e-4,0.0032443550636754703,-5.389094063745431e-4,0.0011230034188259826,7.08406120985546e-4,-0.0015961485536828246,-6.380227039012887e-4,1.8018075737575554e-4,6.978395557459365e-4,-3.403705634226318e-4,-2.1690819713288123e-17,18/08/2020,ZRC. 4.888,ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,variegatus,Male,Borneo,Borneo,Borneo,5.304512762,116.9350579,253000,75.00%
ZRC.4899.PENINSULAE.CRANIUM.VENTRAL,-0.008655613421246404,-0.0077571513295224895,0.00746622594000394,0.01895263490017322,1.0341315612421944e-4,0.0077477026412602745,0.003930292051104599,-0.009133388321506074,-0.009683032928652646,-1.482815746162804e-4,-0.004777611467526584,0.010541756754987941,0.00611092294763815,0.002778134616988815,-0.006998946677017773,3.31458827230899e-4,0.0021147969508560726,1.8147742856155006e-4,-0.007147327572956408,-0.007407243878679764,0.0015477006716197758,0.004842764676230163,-0.003084974109183839,8.045211427629303e-4,-0.004607240667515415,0.0025571432784274716,-3.3614449140424794e-4,-0.0034564819877789146,0.00423592072108905,-6.129123060066e-4,0.0030120096146851938,0.0010444862726943487,-4.137144860972297e-4,-2.1742379644592777e-4,4.745661690887623e-4,-5.534075183741118e-4,-0.0011746843877813572,-0.001103246192015995,5.2396197964945724e-5,5.757436498993934e-4,9.693020700091815e-5,-5.0809782235438933e-5,-3.6094923894053435e-4,-3.645995291691606e-4,2.871703383975342e-4,-2.9314116238576826e-17,18/08/2020,ZRC. 4.899,ZRC.4.899.Peninsulae.CRANIUM.DORSAL,variegatus,Male,Peninsular SEA,Peninsular SEA,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4900.PENINSULAE.CRANIUM.VENTRAL,-0.0037145895472456103,-0.012323223235042554,0.006599413066820387,0.008624528323916787,-0.004258386070196062,0.006331579426414199,0.007869185220239423,0.009279082947933,0.009342392192991347,-0.005388476876990835,0.004241922224069975,0.008589072326458013,0.0022616568914987844,-0.00808503705075704,-8.091135573481648e-4,0.0040984555952307,0.0020552137589041264,-0.0014250974684403175,-0.007789458530985421,7.735743296881453e-4,-0.009105239477289003,9.908513209308176e-4,0.0011532564365317717,8.936310334204975e-5,-0.001109842058420839,-0.004965623819152101,-7.028880789206857e-6,-0.0015530345470409703,-0.0037531335328361577,0.0025014387695337765,-0.0018839047716228488,0.002250763307097794,-4.752755632884983e-6,-8.130529121665335e-4,-4.4198073129963605e-4,0.001067921958282946,-6.764851348450171e-4,0.0011888488667508054,-5.726575647069677e-4,-3.864843225152269e-4,-0.0011574401372562212,3.632643499005319e-4,-9.02615150111322e-4,6.830562421696752e-5,4.805428173355725e-4,-2.6603610807363065e-17,18/08/2020,ZRC. 4.900,ZRC.4.900.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,7.068869728,100.621263,1000,75.00%
ZRC.4908.PENINSULAE.CRANIUM.VENTRAL,0.0036893996252337267,-0.00499879006432826,-0.01678536959819147,-0.01632220268415083,0.020374788023612454,-0.004565423361342182,-0.01493774763989148,0.0059967311383050375,0.0026812898148151692,-0.011155901399297313,-0.0033240707318594586,-0.005891643156107234,0.003065571007657674,-0.011820812868807554,0.006188166109581325,0.002204221625331401,8.801526365126792e-4,0.002767136047840888,-0.004053896356678931,-0.006050705431696945,0.0013310951008576812,-6.33464239559435e-4,-0.0016293062707222223,0.0014364041838919703,-0.0017661530466729933,-8.492769607559217e-4,-0.0012103652003435817,-0.0014602948839889513,8.534127475319295e-4,3.3292392857659365e-4,-0.002169564493818286,9.713499510901312e-4,1.372330940465403e-4,1.1811474544371492e-4,3.98338555848296e-4,8.738904322948415e-4,-7.476867680668571e-4,-9.034989326943e-4,8.18822831235161e-4,9.622856889401646e-4,0.0018288817944251204,-0.0014452210306120056,3.8094781636555575e-4,2.4492262660236555e-4,2.878971599534248e-5,-1.7150723116005073e-17,18/08/2020,ZRC. 4.908,ZRC.4.908.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,NA,NA,NA,NA
ZRC.4918.PENINSULAE.CRANIUM.VENTRAL,-7.18662373531223e-4,0.002747787398312898,-0.014801687113700796,-0.012558952098956942,5.182712769433692e-4,0.003042802413716069,0.005815973353984056,-4.178750221860531e-4,0.0048255645601813545,-0.0010188210869541438,-9.897087064254162e-4,-0.001850129630049379,-0.002381452151146584,0.005516652633120149,-0.003592280202690329,-0.009851375326964697,0.009597130480183394,0.0014684651613846708,0.004630834391809222,-6.66341897185057e-4,-0.008401586828432998,0.0035532427318936168,-0.004482753956629046,0.0016551757238033274,-0.0028083899611045693,0.0024939858704226474,0.0019445829788475506,0.002008476248175923,-0.00324006704533896,9.797482747831462e-4,-6.553157121789659e-4,0.0010367941171882137,-0.0038437447459447865,0.0012927905641817266,-3.441185621699277e-4,-4.3626352057492957e-4,-5.891693346214625e-4,-4.334278264354305e-4,4.5371118138299893e-4,-3.0440946368615512e-5,0.0010394881541046079,1.5974575326393198e-4,3.4971756762742454e-4,-9.136094402280917e-4,-3.194663705942364e-4,-2.2659825404947043e-17,18/08/2020,ZRC. 4.918,ZRC.4.918.Peninsulae.CRANIUM.DORSAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,3.55023,101.7233,3500,75.00%
ZRC.4925.PENINSULAE.CRANIUM.VENTRAL,-1.5000487415987748e-4,0.016389614082769403,0.012049008624405923,-0.002840514819076688,0.011350191892830007,0.006396186636197568,0.012133704983129864,-0.014854180541438767,0.008073809283246827,-0.006141635966854022,-0.012088589866512997,3.177163198382262e-4,-0.0011400018290109852,-6.843877152133012e-4,-0.003060905047279893,-0.0028464504655025032,-0.0046782015364454695,-0.002395337986904215,-0.006310067652061071,0.003285665364550511,0.0035371874428910288,0.001068724685100437,-7.850957357694949e-4,-0.0017036387435974195,-0.001089426282426273,-0.0040166748222482136,-0.0048394204787966235,0.0039541434256246035,-0.0011630700229546315,-0.0025875756057224643,-8.528492378608048e-4,-4.854657380401692e-4,-0.0012401637492732245,0.0014684364009691405,0.0013692288914027829,-3.794594334820734e-4,0.0017950101553489168,5.822707201561801e-4,6.905710554573361e-4,-0.001285719494972293,2.7057905594754733e-4,-8.137085395694913e-4,1.444691444125888e-4,-3.310252953716222e-4,-1.5416184664991607e-5,-2.2375222334669598e-17,18/08/2020,ZRC. 4.925,ZRC.4.925.Peninsulae.CRANIUM.DORSAL,variegatus,Male,Peninsular SEA,Peninsular SEA,Peninsular SEA,1.4208,103.80113,3100,100.00%
ZRC.4944.TEMMINCKI.CRANIUM.VENTRAL,0.024751270763542516,0.0407588096986557,0.005140329312127355,-0.006920421930577995,0.00526025179112871,5.450099918172397e-4,0.00218175236860508,-0.0016198003485774388,-0.006407039128503488,-0.010872325490138744,-0.0038282149704393586,-0.006751479263507486,0.0018567046807154606,6.049089655090842e-5,-0.001725372281976858,0.006787134826174818,-0.0015603622381623462,-0.007742403311212732,0.007045223325389698,-0.002833130267616448,-6.531696178345618e-4,0.002539212753691656,0.004684809425960344,-0.002066819394860676,-0.002077427357513919,1.0530342687773057e-4,0.002137293902961822,-7.667613199038017e-4,-0.0014779510994959273,-6.508186292811392e-4,0.0013628272294561325,0.0010400159767620524,-0.0018412968024220822,-0.0023109695457236667,-2.376497019065794e-4,2.980624783037423e-4,-0.0012236291509055525,-5.042860054569873e-4,-0.001968622819226918,-1.2995474626076027e-4,-4.965349572939609e-4,-7.190444702657297e-4,-4.129853279523364e-4,2.4690237794629494e-4,3.68109302720176e-4,-1.828235913353682e-17,18/08/2020,ZRC. 4.944,ZRC.4.944.TEMMINCKI.CRANIUM.DORSAL,variegatus,Female,Sumatra,Sumatra,Sumatra,-1.895761824,101.3143701,4000,75.00%
ZRC.4947.TEMMINCKI.CRANIUM.VENTRAL,-0.005930342011380226,-0.0149607965570944,0.02292489380258827,-0.02119038108821316,-0.014154113805801855,0.0014636974986535275,0.009618361361244356,0.001183589706224401,-0.0015577805564159631,-0.008536961158110087,-0.006445310900679812,-0.011195553990644919,-0.0016415141872467176,0.005963516443599529,-0.004386076070713929,0.007631063065398936,-0.00106740385503727,7.860256485702705e-4,-0.003815223248582153,0.0056666109022816035,0.0034446326697528925,-9.012599817675686e-4,-0.0032603548999998884,3.165990526087501e-4,-7.71111246624914e-4,3.4291766788027884e-4,0.0036165650592546953,-0.0023860466363663088,-0.0017342840684330765,0.003636587122859347,6.001982096810491e-4,6.981980976443011e-4,0.0015183863290553718,5.995134148885101e-6,-6.818164185584378e-4,-1.541555323080559e-4,5.652780927621363e-4,-0.0013631097686127294,4.5249953115649626e-4,1.4395088939482434e-5,0.001365573249863208,6.038750454905779e-4,6.666929096542992e-4,4.646138831190604e-4,2.931627476472062e-4,-3.152317816501604e-17,18/08/2020,ZRC. 4.947,ZRC.4.947.TEMMINCKI.CRANIUM.DORSAL,variegatus,Female,Sumatra,Sumatra,Sumatra,NA,NA,NA,NA
ZRC.4962.VARIGATUS.CRANIUM.VENTRAL,0.021175560215041227,0.007798182105600966,-0.009274279068169675,0.012240491989071888,-0.016887761579980242,-0.004675813160505618,-1.8692794094207134e-4,0.0015751194276088152,-0.0027969215940067318,4.289078306541491e-4,0.005986464802804607,-0.007076427263613557,-0.008146817563416663,0.005045993813892082,0.005800802337177572,0.0036860092088504153,3.02360803534724e-4,6.758222919857583e-4,-0.0024266994816940684,-4.614958607379246e-4,-6.391538904691637e-4,-0.002738289090698683,-0.0036101837964199685,0.0034968323872874236,-0.002881833262684154,-0.005677558746495429,-0.00206306469654191,-0.0015384109683293967,-5.521713728165716e-4,-0.0018801548456180836,0.0028853960479711415,-0.00220101369340942,-0.0015684930917263579,7.749286943656492e-4,0.0031007041726040193,0.0014565217082571462,-0.0023653739003882566,2.4886362925796354e-4,6.36418139380554e-4,-2.530687451329762e-4,-3.1602446910705467e-4,2.3230778287924254e-4,6.500167722050235e-4,3.078558906278997e-4,-4.6518543652688377e-4,-2.173147729475633e-17,18/08/2020,ZRC. 4.962,ZRC.4.962.VARIGATUS.CRANIUM.DORSAL,variegatus,Female,Java,Java,Java,NA,NA,NA,NA
